date,spx,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1994-05-23,-0.3788052260468966,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.75065,1994-05-23,0.5194198601198423,0.8497901234824126,0.33037026336257025
1994-05-24,0.3546189291882662,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.75065,1994-05-23,0.42008967119870727,0.8019146235679104,0.38182495236920316
1994-05-25,0.33583920279198765,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.75065,1994-05-23,0.4224782113811955,0.783016399917449,0.36053818853625347
1994-05-26,0.15765319769149855,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.75065,1994-05-23,0.3657239711404733,0.78742598543589,0.42170201429541676
1994-05-27,0.059053360661298626,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.75065,1994-05-23,0.3643146580836726,0.7867960446475413,0.4224813865638687
1994-05-31,-0.18165025005343338,4.079469039323502,1994-05-01,0.46886614615617717,1994-05-01,0.46886614615617717,1994-05-01,-0.7522,1994-05-30,0.3486284868405669,0.8208128472183717,0.47218436037780476
1994-06-01,0.24723082480546665,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.7522,1994-05-30,0.3440532088726789,0.8012846827795618,0.4572314739068829
1994-06-02,0.0043678437254612845,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.7522,1994-05-30,0.3341473984450697,0.8019146235679104,0.46776722512284075
1994-06-03,0.5404382398639385,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.7522,1994-05-30,0.3474232443002675,0.7678978209970799,0.42047457669681243
1994-06-06,-0.2720320251676789,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.75094,1994-06-06,0.3469752164834927,0.8208128472183717,0.47383763073487895
1994-06-07,-0.1461174196928816,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.75094,1994-06-06,0.3476879853582979,0.8220727287950692,0.4743847434367713
1994-06-08,-0.25129057414217115,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.75094,1994-06-06,0.32205935865616386,0.8390811300804845,0.5170217714243206
1994-06-09,0.17487588395450615,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.75094,1994-06-06,0.25403382813173725,0.8321517814086486,0.5781179532769114
1994-06-10,0.17675978149584992,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.75094,1994-06-06,0.2240816595316639,0.7993948604145155,0.5753132008828515
1994-06-13,0.09370387407763303,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.74529,1994-06-13,0.1773191389978965,0.7508894197116647,0.5735702807137681
1994-06-14,0.7097361222632159,-7.976969994572247,1994-06-01,0.6671626303444533,1994-06-01,0.6671626303444533,1994-06-01,-0.74529,1994-06-13,0.1883652138001164,0.7307313144845059,0.5423661006843895
