date,dhoust,year_month.x,ip,year_month.y,nai,year_month,nfci,year_week,Rvol22,vix,vrp
1999-09-30,-0.791962713806349,1999-09-01,-0.4203810661843832,1999-09-01,-0.4203810661843832,1999-09-01,-0.088,1999-09-27,1.2325511160344291,1.6006795335819437,0.3681284175475146
1999-10-01,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.088,1999-09-27,1.2291655627270073,1.5704424045776062,0.3412768418505989
1999-10-04,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07804,1999-10-04,1.3287324809698227,1.540835110628148,0.21210262965832527
1999-10-05,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07804,1999-10-04,1.2945305803035774,1.5616232719892587,0.2670926916856813
1999-10-06,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07804,1999-10-04,1.0778555578979145,1.3896493454547911,0.3117937875568766
1999-10-07,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07804,1999-10-04,1.0820950541606567,1.4854003741201962,0.40330531995953955
1999-10-08,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07804,1999-10-04,1.1593837330590828,1.2907486609083105,0.1313649278492277
1999-10-11,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07733,1999-10-11,1.1564594632180667,1.299567793496658,0.14310833027859138
1999-10-12,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07733,1999-10-11,1.2798958334880253,1.4387847702005918,0.15888893671256654
1999-10-13,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07733,1999-10-11,1.469199927661967,1.6353262288804546,0.1661263012184877
1999-10-14,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07733,1999-10-11,1.454895115356395,1.6409957055877267,0.18610059023133174
1999-10-15,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.07733,1999-10-11,1.736417985205697,1.811079766502547,0.0746617812968502
1999-10-18,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.08616,1999-10-18,1.7494707141973402,1.7758031159974867,0.02633240180014651
1999-10-19,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.08616,1999-10-18,1.6902436982507303,1.6731227002117115,-0.017120998039018787
1999-10-20,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.08616,1999-10-18,1.9110724571961597,1.5055584601230876,-0.4055139970730721
1999-10-21,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.08616,1999-10-18,1.7170432918160559,1.5131178024500072,-0.2039254893660487
1999-10-22,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.08616,1999-10-18,1.8033015874391212,1.3631918275380783,-0.44010975990104284
1999-10-25,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.10362,1999-10-25,1.5752497498280436,1.4866602845332944,-0.0885894652947492
1999-10-26,-1.6651633592442039,1999-10-01,1.2798057639990645,1999-10-01,1.2798057639990645,1999-10-01,-0.10362,1999-10-25,1.6103138926413474,1.5282363669521757,-0.0820775256891717
